M,Torch (GB/s),Triton (GB/s),Helion (GB/s),Cute (GB/s),Gluon (GB/s)
13568.000000,189.995653,590.162509,678.796390,719.270303,551.009309
13824.000000,190.036271,591.151029,679.361006,719.103966,549.833026
14080.000000,188.732373,590.683664,680.199631,718.881203,550.847413
14336.000000,189.115917,591.827713,679.286649,719.292448,549.371887
14592.000000,189.408462,592.296004,680.781400,719.948956,550.736552
14848.000000,189.657237,592.579641,680.272813,719.339020,551.280329
15104.000000,189.931702,592.148601,681.875372,722.402540,551.380094
15360.000000,190.154283,593.162970,681.823741,722.489610,552.554382
15616.000000,190.387679,593.283336,682.614860,723.066057,550.836760
15872.000000,190.527017,593.707664,681.259534,722.616843,552.320693
16128.000000,190.619375,594.041698,682.187446,719.628170,551.625004
16384.000000,190.793348,593.170910,682.615869,719.997360,552.393796
16640.000000,190.939141,593.097616,682.626197,722.912743,554.217219
16896.000000,191.056818,593.416731,682.606540,722.853261,553.203757
17152.000000,191.104200,594.025575,683.266547,719.342621,552.961979
17408.000000,191.154472,594.002144,684.384005,720.781161,554.177356
17664.000000,191.281991,594.661811,684.569244,722.456919,553.011644
17920.000000,191.362224,595.221905,684.175734,721.039707,555.094331
18176.000000,191.392584,594.391047,685.301758,720.595652,553.586283
18432.000000,191.507848,595.707121,684.623191,723.201287,554.718805
18688.000000,191.557771,595.946744,684.885114,723.858861,556.433745
18944.000000,191.610862,596.428263,686.155960,720.321443,554.761988
19200.000000,191.679810,595.864804,685.675286,722.794706,554.834015
19456.000000,191.802832,596.262740,686.274793,721.020548,555.607609
19712.000000,191.890531,596.596428,685.644460,724.091989,554.011445
19968.000000,191.919484,596.433325,686.682358,725.053891,556.517262
20224.000000,192.033596,596.516717,685.992438,721.231451,555.298400
20480.000000,192.044725,596.496815,686.307916,724.683766,555.816704
20736.000000,192.067562,597.389938,687.378002,721.252174,556.928663
20992.000000,191.436782,597.846547,686.787926,725.197656,556.131032
21248.000000,191.535583,597.667721,686.861080,721.631751,557.589968
21504.000000,191.705262,597.365240,687.774554,724.514740,556.759835
21760.000000,191.828008,597.443158,686.942968,720.883950,556.824214
22016.000000,192.061066,597.562439,687.187137,724.947308,557.256870
22272.000000,192.163929,598.320347,687.420588,721.541162,557.511407
22528.000000,192.234575,598.695137,687.670168,724.812781,558.106985
22784.000000,192.311046,598.388395,688.289379,720.954513,557.175691
23040.000000,192.403016,598.354686,688.633331,725.249395,557.569562
23296.000000,192.492182,598.585931,688.901082,721.000803,558.133334
23552.000000,192.542835,598.193116,688.394062,725.416287,557.544195
23808.000000,192.580250,599.029732,689.360000,721.482157,557.491395
24064.000000,192.651130,598.918398,688.587564,725.454738,557.455277
24320.000000,192.683524,598.700796,689.462506,725.901049,557.136429
24576.000000,192.750800,600.188799,688.644498,721.975246,558.242687
24832.000000,192.752390,598.750125,689.258289,725.559782,557.232724
25088.000000,192.721732,599.856022,689.080339,720.075528,557.539528
25344.000000,192.756218,600.083805,687.854885,724.554750,556.961401
