N,Torch (GB/s),Triton (GB/s),Helion (GB/s),Cute (GB/s),Gluon (GB/s)
8704.000000,186.355747,445.053770,655.947956,713.820668,433.084043
8960.000000,186.843814,444.299854,658.247804,714.986123,428.940626
9216.000000,187.376463,444.241143,657.503776,714.289919,427.356263
9472.000000,187.815586,445.010970,659.826422,714.506820,423.051939
9728.000000,188.161067,445.504966,658.692788,714.408359,422.605626
9984.000000,188.506057,444.969360,659.074975,716.612849,417.803018
10240.000000,188.681762,443.883868,660.656699,718.393210,412.835082
10496.000000,188.338667,444.348188,661.635824,715.103495,412.859258
10752.000000,188.638471,443.132025,660.848192,715.401163,410.010726
11008.000000,188.934772,444.551034,662.732841,716.844999,409.570420
11264.000000,189.188454,443.953545,661.338766,717.613127,408.997844
11520.000000,189.391227,444.449642,661.914143,714.839881,404.616976
11776.000000,189.659067,444.782807,662.888707,715.268064,407.296731
12032.000000,189.988850,445.858985,661.520631,716.540552,404.442640
12288.000000,190.071910,445.937602,661.872652,713.839360,403.929622
12544.000000,189.653668,444.786045,663.222271,718.240917,402.062391
12800.000000,189.970154,445.204821,662.231473,715.910741,397.974658
13056.000000,190.110121,445.715640,663.797266,716.256569,401.273394
13312.000000,190.500266,447.134358,664.341778,716.615510,403.388442
13568.000000,190.613347,446.645868,663.212024,717.927331,400.439014
13824.000000,190.838128,447.170494,665.433932,717.570718,400.939573
14080.000000,190.679593,445.810872,663.965496,716.665738,397.057288
14336.000000,191.113019,446.746470,664.714499,716.800004,401.655584
14592.000000,190.708967,445.690912,664.917964,718.160547,398.533273
14848.000000,190.923659,446.021771,664.940324,717.303782,401.494882
15104.000000,190.966638,444.866657,665.062850,715.567822,396.505981
15360.000000,191.288467,446.909133,666.046349,714.837194,399.535813
15616.000000,191.440527,446.873414,665.821230,567.088716,396.622625
15872.000000,191.735357,448.840651,666.380770,719.201025,400.386798
16128.000000,191.826051,448.839169,665.999471,705.399601,396.051976
16384.000000,191.908521,447.422263,667.042949,129.520761,397.847840
16640.000000,191.690824,447.966091,672.979159,723.345253,396.551663
16896.000000,191.803477,447.846855,672.972895,721.968852,399.537227
17152.000000,192.017911,448.459666,674.063210,723.207451,396.506410
17408.000000,192.114777,448.544652,673.635526,726.012787,398.697617
17664.000000,191.823298,443.065342,674.725235,724.971980,395.152716
17920.000000,191.994092,444.932905,673.808528,723.645681,399.505036
18176.000000,192.384695,448.051813,674.601282,725.620952,396.444331
18432.000000,192.477056,448.999379,673.940156,725.798117,399.999798
18688.000000,192.325653,447.224303,652.041032,701.094933,397.617023
18944.000000,192.440319,448.540245,674.812479,721.733950,398.463122
19200.000000,192.362865,446.827739,674.654537,724.760072,396.720077
19456.000000,192.695497,450.093622,674.010644,722.235854,399.886554
19712.000000,192.436173,442.282988,674.331622,724.694395,397.314219
19968.000000,191.832513,436.894102,674.515365,721.064494,396.889463
20224.000000,193.009420,449.920986,674.274753,720.918619,394.899653
20480.000000,192.559072,441.853201,675.723006,725.399961,395.748791
20736.000000,192.682158,446.139134,674.537305,721.506524,396.686426
20992.000000,192.927705,448.851248,675.517578,724.245186,395.888732
21248.000000,192.883076,447.088741,675.190919,721.589590,394.180385
21504.000000,193.203205,450.470279,675.194701,723.865511,399.027982
21760.000000,193.286354,450.101412,675.675944,721.065343,398.654835
22016.000000,186.591094,436.249442,652.710939,723.528515,399.743850
22272.000000,193.465846,450.863753,676.439085,720.291064,397.777708
22528.000000,193.247659,447.851400,675.858377,671.646252,397.855233
22784.000000,193.191424,448.783910,675.967802,723.794362,394.203321
23040.000000,193.174535,448.595234,676.256596,723.964731,396.716723
23296.000000,193.234110,447.423423,676.362751,719.966644,394.122827
23552.000000,193.117337,446.461140,675.881709,724.467946,397.169835
23808.000000,193.661560,450.645185,676.476485,719.458806,395.539982
24064.000000,193.207543,447.613737,676.468177,722.994342,397.428442
24320.000000,192.935397,443.933903,676.070179,719.809292,393.783725
24576.000000,193.101460,442.334343,676.909150,719.130300,394.885938
24832.000000,193.457391,448.515947,653.664432,718.056504,397.632983
25088.000000,193.610216,449.311523,677.693500,718.948741,399.765066
25344.000000,193.628923,449.101806,676.878582,723.482071,396.358397
